INFO   | jvm 1    | 2014/06/23 17:44:15 | [2014-06-23 17:44:15,406][INFO ][plugins                  ] [Terror] loaded [transport-thrift, analysis-mmseg, analysis-pinyin, mapper-attachments, analysis-ik, analysis-smartcn, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [rtf]
INFO   | jvm 1    | 2014/06/23 17:44:17 | {1.2.1}: Initialization Failed ...
INFO   | jvm 1    | 2014/06/23 17:44:17 | - ExecutionError[java.lang.IncompatibleClassChangeError: Implementing class]
INFO   | jvm 1    | 2014/06/23 17:44:17 | 	IncompatibleClassChangeError[Implementing class]
STATUS | wrapper  | 2014/06/23 17:44:19 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:44:29 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:44:29 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:44:29 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:44:29 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:44:29 | 
STATUS | wrapper  | 2014/06/23 17:44:29 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:44:29 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:44:31 | [2014-06-23 17:44:31,377][INFO ][node                     ] [Adrian Corbo] version[1.2.1], pid[10558], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:44:31 | [2014-06-23 17:44:31,378][INFO ][node                     ] [Adrian Corbo] initializing ...
INFO   | jvm 1    | 2014/06/23 17:44:31 | [2014-06-23 17:44:31,687][INFO ][plugins                  ] [Adrian Corbo] loaded [analysis-mmseg, analysis-pinyin, mapper-attachments, analysis-ik, analysis-smartcn, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [rtf]
INFO   | jvm 1    | 2014/06/23 17:44:33 | {1.2.1}: Initialization Failed ...
INFO   | jvm 1    | 2014/06/23 17:44:33 | - ExecutionError[java.lang.NoClassDefFoundError: org/elasticsearch/rest/XContentRestResponse]
INFO   | jvm 1    | 2014/06/23 17:44:33 | 	NoClassDefFoundError[org/elasticsearch/rest/XContentRestResponse]
INFO   | jvm 1    | 2014/06/23 17:44:33 | 		ClassNotFoundException[org.elasticsearch.rest.XContentRestResponse]
STATUS | wrapper  | 2014/06/23 17:44:35 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:46:28 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:46:28 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:46:28 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:46:28 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:46:28 | 
STATUS | wrapper  | 2014/06/23 17:46:28 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:46:29 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:46:30 | [2014-06-23 17:46:30,447][INFO ][node                     ] [Diamanda Nero] version[1.2.1], pid[10739], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:46:30 | [2014-06-23 17:46:30,451][INFO ][node                     ] [Diamanda Nero] initializing ...
INFO   | jvm 1    | 2014/06/23 17:46:30 | [2014-06-23 17:46:30,667][INFO ][plugins                  ] [Diamanda Nero] loaded [analysis-mmseg, analysis-pinyin, mapper-attachments, analysis-ik, marvel, analysis-smartcn, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [marvel, bigdesk, segmentspy, rtf, kopf, head, inquisitor, paramedic]
INFO   | jvm 1    | 2014/06/23 17:46:32 | {1.2.1}: Initialization Failed ...
INFO   | jvm 1    | 2014/06/23 17:46:32 | - ExecutionError[java.lang.NoClassDefFoundError: org/elasticsearch/rest/XContentRestResponse]
INFO   | jvm 1    | 2014/06/23 17:46:32 | 	NoClassDefFoundError[org/elasticsearch/rest/XContentRestResponse]
INFO   | jvm 1    | 2014/06/23 17:46:32 | 		ClassNotFoundException[org.elasticsearch.rest.XContentRestResponse]
STATUS | wrapper  | 2014/06/23 17:46:34 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:47:10 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:47:10 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:47:10 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:47:10 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:47:10 | 
STATUS | wrapper  | 2014/06/23 17:47:11 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:47:11 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:47:12 | [2014-06-23 17:47:12,706][INFO ][node                     ] [Monet St. Croix] version[1.2.1], pid[10867], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:47:12 | [2014-06-23 17:47:12,707][INFO ][node                     ] [Monet St. Croix] initializing ...
INFO   | jvm 1    | 2014/06/23 17:47:13 | [2014-06-23 17:47:13,152][INFO ][plugins                  ] [Monet St. Croix] loaded [transport-thrift, analysis-mmseg, analysis-pinyin, mapper-attachments, analysis-ik, marvel, analysis-smartcn, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [marvel, bigdesk, segmentspy, rtf, kopf, head, inquisitor, paramedic]
INFO   | jvm 1    | 2014/06/23 17:47:15 | {1.2.1}: Initialization Failed ...
INFO   | jvm 1    | 2014/06/23 17:47:15 | - ExecutionError[java.lang.IncompatibleClassChangeError: Implementing class]
INFO   | jvm 1    | 2014/06/23 17:47:15 | 	IncompatibleClassChangeError[Implementing class]
STATUS | wrapper  | 2014/06/23 17:47:17 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:47:30 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:47:30 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:47:30 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:47:30 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:47:30 | 
STATUS | wrapper  | 2014/06/23 17:47:30 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:47:30 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:47:32 | [2014-06-23 17:47:32,420][INFO ][node                     ] [Mass Master] version[1.2.1], pid[10965], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:47:32 | [2014-06-23 17:47:32,421][INFO ][node                     ] [Mass Master] initializing ...
INFO   | jvm 1    | 2014/06/23 17:47:32 | [2014-06-23 17:47:32,663][INFO ][plugins                  ] [Mass Master] loaded [transport-thrift, mapper-attachments, marvel, DocumentPartialUpdate, river-email], sites [marvel, bigdesk, segmentspy, rtf, kopf, head, inquisitor, paramedic]
